"date","home.team","home.score","away.team","away.score"
2017-08-18,"Leganes",1,"Alaves",0
2017-08-18,"Valencia",1,"Las Palmas",0
2017-08-19,"Celta",2,"Sociedad",3
2017-08-19,"Girona",2,"Ath Madrid",2
2017-08-19,"Sevilla",1,"Espanol",1
2017-08-20,"Ath Bilbao",0,"Getafe",0
2017-08-20,"Barcelona",2,"Betis",0
2017-08-20,"La Coruna",0,"Real Madrid",3
2017-08-21,"Levante",1,"Villarreal",0
2017-08-21,"Malaga",0,"Eibar",1
2017-08-25,"Betis",2,"Celta",1
2017-08-25,"Sociedad",3,"Villarreal",0
2017-08-26,"Alaves",0,"Barcelona",2
2017-08-26,"Girona",1,"Malaga",0
2017-08-26,"Las Palmas",1,"Ath Madrid",5
2017-08-26,"Levante",2,"La Coruna",2
2017-08-27,"Eibar",0,"Ath Bilbao",1
2017-08-27,"Espanol",0,"Leganes",1
2017-08-27,"Getafe",0,"Sevilla",1
2017-08-27,"Real Madrid",2,"Valencia",2
2017-09-08,"Leganes",1,"Getafe",2
2017-09-09,"Barcelona",5,"Espanol",0
2017-09-09,"Real Madrid",1,"Levante",1
2017-09-09,"Sevilla",3,"Eibar",0
2017-09-09,"Valencia",0,"Ath Madrid",0
2017-09-10,"Ath Bilbao",2,"Girona",0
2017-09-10,"Celta",1,"Alaves",0
2017-09-10,"La Coruna",2,"Sociedad",4
2017-09-10,"Villarreal",3,"Betis",1
2017-09-11,"Malaga",1,"Las Palmas",3
2017-09-15,"Eibar",1,"Leganes",0
2017-09-16,"Ath Madrid",1,"Malaga",0
2017-09-16,"Betis",2,"La Coruna",1
2017-09-16,"Getafe",1,"Barcelona",2
2017-09-16,"Levante",1,"Valencia",1
2017-09-17,"Alaves",0,"Villarreal",3
2017-09-17,"Girona",0,"Sevilla",1
2017-09-17,"Las Palmas",1,"Ath Bilbao",0
2017-09-17,"Sociedad",1,"Real Madrid",3
2017-09-18,"Espanol",2,"Celta",1
2017-09-19,"Barcelona",6,"Eibar",1
2017-09-19,"Valencia",5,"Malaga",0
2017-09-20,"Ath Bilbao",1,"Ath Madrid",2
2017-09-20,"La Coruna",1,"Alaves",0
2017-09-20,"Leganes",0,"Girona",0
2017-09-20,"Real Madrid",0,"Betis",1
2017-09-20,"Sevilla",1,"Las Palmas",0
2017-09-21,"Celta",1,"Getafe",1
2017-09-21,"Levante",3,"Sociedad",0
2017-09-21,"Villarreal",0,"Espanol",0
2017-09-23,"Alaves",1,"Real Madrid",2
2017-09-23,"Ath Madrid",2,"Sevilla",0
2017-09-23,"Girona",0,"Barcelona",3
2017-09-23,"Malaga",3,"Ath Bilbao",3
2017-09-24,"Eibar",0,"Celta",4
2017-09-24,"Espanol",4,"La Coruna",1
2017-09-24,"Getafe",4,"Villarreal",0
2017-09-24,"Las Palmas",0,"Leganes",2
2017-09-24,"Sociedad",2,"Valencia",3
2017-09-25,"Betis",4,"Levante",0
2017-09-29,"Celta",3,"Girona",3
2017-09-30,"La Coruna",2,"Getafe",1
2017-09-30,"Leganes",0,"Ath Madrid",0
2017-09-30,"Levante",0,"Alaves",2
2017-09-30,"Sevilla",2,"Malaga",0
2017-10-01,"Barcelona",3,"Las Palmas",0
2017-10-01,"Real Madrid",2,"Espanol",0
2017-10-01,"Sociedad",4,"Betis",4
2017-10-01,"Valencia",3,"Ath Bilbao",2
2017-10-01,"Villarreal",3,"Eibar",0
2017-10-13,"Espanol",0,"Levante",0
2017-10-14,"Alaves",0,"Sociedad",2
2017-10-14,"Ath Bilbao",1,"Sevilla",0
2017-10-14,"Ath Madrid",1,"Barcelona",1
2017-10-14,"Getafe",1,"Real Madrid",2
2017-10-15,"Betis",3,"Valencia",6
2017-10-15,"Eibar",0,"La Coruna",0
2017-10-15,"Girona",1,"Villarreal",2
2017-10-15,"Malaga",0,"Leganes",2
2017-10-16,"Las Palmas",2,"Celta",5
2017-10-21,"Barcelona",2,"Malaga",0
2017-10-21,"Betis",2,"Alaves",0
2017-10-21,"Levante",1,"Getafe",1
2017-10-21,"Valencia",4,"Sevilla",0
2017-10-22,"Celta",0,"Ath Madrid",1
2017-10-22,"Leganes",1,"Ath Bilbao",0
2017-10-22,"Real Madrid",3,"Eibar",0
2017-10-22,"Villarreal",4,"Las Palmas",0
2017-10-23,"La Coruna",1,"Girona",2
2017-10-23,"Sociedad",1,"Espanol",1
2017-10-28,"Alaves",1,"Valencia",2
2017-10-28,"Ath Bilbao",0,"Barcelona",2
2017-10-28,"Ath Madrid",1,"Villarreal",1
2017-10-28,"Sevilla",2,"Leganes",1
2017-10-29,"Eibar",2,"Levante",2
2017-10-29,"Getafe",2,"Sociedad",1
2017-10-29,"Girona",2,"Real Madrid",1
2017-10-29,"Malaga",2,"Celta",1
2017-10-30,"Espanol",1,"Betis",0
2017-10-30,"Las Palmas",1,"La Coruna",3
2017-11-03,"Betis",2,"Getafe",2
2017-11-04,"Alaves",1,"Espanol",0
2017-11-04,"Barcelona",2,"Sevilla",1
2017-11-04,"La Coruna",0,"Ath Madrid",1
2017-11-04,"Valencia",3,"Leganes",0
2017-11-05,"Celta",3,"Ath Bilbao",1
2017-11-05,"Levante",1,"Girona",2
2017-11-05,"Real Madrid",3,"Las Palmas",0
2017-11-05,"Sociedad",3,"Eibar",1
2017-11-05,"Villarreal",2,"Malaga",0
2017-11-17,"Girona",1,"Sociedad",1
2017-11-18,"Ath Madrid",0,"Real Madrid",0
2017-11-18,"Getafe",4,"Alaves",1
2017-11-18,"Leganes",0,"Barcelona",3
2017-11-18,"Sevilla",2,"Celta",1
2017-11-19,"Ath Bilbao",1,"Villarreal",1
2017-11-19,"Espanol",0,"Valencia",2
2017-11-19,"Las Palmas",0,"Levante",2
2017-11-19,"Malaga",3,"La Coruna",2
2017-11-20,"Eibar",5,"Betis",0
2017-11-24,"Celta",1,"Leganes",0
2017-11-25,"Alaves",1,"Eibar",2
2017-11-25,"Betis",2,"Girona",2
2017-11-25,"Levante",0,"Ath Madrid",5
2017-11-25,"Real Madrid",3,"Malaga",2
2017-11-26,"La Coruna",2,"Ath Bilbao",2
2017-11-26,"Sociedad",2,"Las Palmas",2
2017-11-26,"Valencia",1,"Barcelona",1
2017-11-26,"Villarreal",2,"Sevilla",3
2017-11-27,"Espanol",1,"Getafe",0
2017-12-01,"Malaga",0,"Levante",0
2017-12-02,"Ath Bilbao",0,"Real Madrid",0
2017-12-02,"Ath Madrid",2,"Sociedad",1
2017-12-02,"Barcelona",2,"Celta",2
2017-12-02,"Sevilla",2,"La Coruna",0
2017-12-03,"Eibar",3,"Espanol",1
2017-12-03,"Getafe",1,"Valencia",0
2017-12-03,"Las Palmas",1,"Betis",0
2017-12-03,"Leganes",3,"Villarreal",1
2017-12-04,"Girona",2,"Alaves",3
2017-12-08,"Alaves",2,"Las Palmas",0
2017-12-09,"Getafe",0,"Eibar",0
2017-12-09,"La Coruna",1,"Leganes",0
2017-12-09,"Real Madrid",5,"Sevilla",0
2017-12-09,"Valencia",2,"Celta",1
2017-12-10,"Betis",0,"Ath Madrid",1
2017-12-10,"Levante",1,"Ath Bilbao",2
2017-12-10,"Sociedad",0,"Malaga",2
2017-12-10,"Villarreal",0,"Barcelona",2
2017-12-11,"Espanol",0,"Girona",1
2017-12-15,"Sevilla",0,"Levante",0
2017-12-16,"Ath Bilbao",0,"Sociedad",0
2017-12-16,"Ath Madrid",1,"Alaves",0
2017-12-16,"Eibar",2,"Valencia",1
2017-12-17,"Barcelona",4,"La Coruna",0
2017-12-17,"Celta",0,"Villarreal",1
2017-12-17,"Girona",1,"Getafe",0
2017-12-17,"Las Palmas",2,"Espanol",2
2017-12-18,"Malaga",0,"Betis",2
2017-12-19,"Levante",0,"Leganes",0
2017-12-20,"Getafe",2,"Las Palmas",0
2017-12-20,"Sociedad",3,"Sevilla",1
2017-12-21,"Alaves",1,"Malaga",0
2017-12-21,"Eibar",4,"Girona",1
2017-12-22,"Betis",0,"Ath Bilbao",2
2017-12-22,"Espanol",1,"Ath Madrid",0
2017-12-23,"La Coruna",1,"Celta",3
2017-12-23,"Real Madrid",0,"Barcelona",3
2017-12-23,"Valencia",0,"Villarreal",1
2018-01-06,"Ath Madrid",2,"Getafe",0
2018-01-06,"Las Palmas",1,"Eibar",2
2018-01-06,"Sevilla",3,"Betis",5
2018-01-06,"Valencia",2,"Girona",1
2018-01-07,"Ath Bilbao",2,"Alaves",0
2018-01-07,"Barcelona",3,"Levante",0
2018-01-07,"Celta",2,"Real Madrid",2
2018-01-07,"Leganes",1,"Sociedad",0
2018-01-07,"Villarreal",1,"La Coruna",1
2018-01-08,"Malaga",0,"Espanol",1
2018-01-12,"Getafe",1,"Malaga",0
2018-01-13,"Eibar",0,"Ath Madrid",1
2018-01-13,"Girona",6,"Las Palmas",0
2018-01-13,"La Coruna",1,"Valencia",2
2018-01-13,"Real Madrid",0,"Villarreal",1
2018-01-14,"Alaves",1,"Sevilla",0
2018-01-14,"Espanol",1,"Ath Bilbao",1
2018-01-14,"Levante",0,"Celta",1
2018-01-14,"Sociedad",2,"Barcelona",4
2018-01-15,"Betis",3,"Leganes",2
2018-01-19,"Getafe",2,"Ath Bilbao",2
2018-01-20,"Ath Madrid",1,"Girona",1
2018-01-20,"Espanol",0,"Sevilla",3
2018-01-20,"Las Palmas",2,"Valencia",1
2018-01-20,"Villarreal",2,"Levante",1
2018-01-21,"Alaves",2,"Leganes",2
2018-01-21,"Betis",0,"Barcelona",5
2018-01-21,"Real Madrid",7,"La Coruna",1
2018-01-21,"Sociedad",1,"Celta",2
2018-01-22,"Eibar",1,"Malaga",1
2018-01-26,"Ath Bilbao",1,"Eibar",1
2018-01-27,"La Coruna",2,"Levante",2
2018-01-27,"Malaga",0,"Girona",0
2018-01-27,"Valencia",1,"Real Madrid",4
2018-01-27,"Villarreal",4,"Sociedad",2
2018-01-28,"Ath Madrid",3,"Las Palmas",0
2018-01-28,"Barcelona",2,"Alaves",1
2018-01-28,"Leganes",3,"Espanol",2
2018-01-28,"Sevilla",1,"Getafe",1
2018-01-29,"Celta",3,"Betis",2
2018-02-02,"Sociedad",5,"La Coruna",0
2018-02-03,"Alaves",2,"Celta",1
2018-02-03,"Betis",2,"Villarreal",1
2018-02-03,"Eibar",5,"Sevilla",1
2018-02-03,"Levante",2,"Real Madrid",2
2018-02-04,"Ath Madrid",1,"Valencia",0
2018-02-04,"Espanol",1,"Barcelona",1
2018-02-04,"Getafe",0,"Leganes",0
2018-02-04,"Girona",2,"Ath Bilbao",0
2018-02-05,"Las Palmas",1,"Malaga",0
2018-02-09,"Ath Bilbao",0,"Las Palmas",0
2018-02-10,"Leganes",0,"Eibar",1
2018-02-10,"Malaga",0,"Ath Madrid",1
2018-02-10,"Real Madrid",5,"Sociedad",2
2018-02-10,"Villarreal",1,"Alaves",2
2018-02-11,"Barcelona",0,"Getafe",0
2018-02-11,"Celta",2,"Espanol",2
2018-02-11,"Sevilla",1,"Girona",0
2018-02-11,"Valencia",3,"Levante",1
2018-02-12,"La Coruna",0,"Betis",1
2018-02-16,"Girona",3,"Leganes",0
2018-02-17,"Alaves",1,"La Coruna",0
2018-02-17,"Eibar",0,"Barcelona",2
2018-02-17,"Las Palmas",1,"Sevilla",2
2018-02-17,"Malaga",1,"Valencia",2
2018-02-18,"Ath Madrid",2,"Ath Bilbao",0
2018-02-18,"Betis",3,"Real Madrid",5
2018-02-18,"Espanol",1,"Villarreal",1
2018-02-18,"Sociedad",3,"Levante",0
2018-02-19,"Getafe",3,"Celta",0
2018-02-21,"Leganes",1,"Real Madrid",3
2018-02-23,"La Coruna",0,"Espanol",0
2018-02-24,"Barcelona",6,"Girona",1
2018-02-24,"Celta",2,"Eibar",0
2018-02-24,"Leganes",0,"Las Palmas",0
2018-02-24,"Real Madrid",4,"Alaves",0
2018-02-25,"Ath Bilbao",2,"Malaga",1
2018-02-25,"Sevilla",2,"Ath Madrid",5
2018-02-25,"Valencia",2,"Sociedad",1
2018-02-25,"Villarreal",1,"Getafe",0
2018-02-26,"Levante",0,"Betis",2
2018-02-27,"Espanol",1,"Real Madrid",0
2018-02-27,"Girona",1,"Celta",0
2018-02-28,"Ath Bilbao",1,"Valencia",1
2018-02-28,"Ath Madrid",4,"Leganes",0
2018-02-28,"Eibar",1,"Villarreal",0
2018-02-28,"Getafe",3,"La Coruna",0
2018-02-28,"Malaga",0,"Sevilla",1
2018-03-01,"Alaves",1,"Levante",0
2018-03-01,"Betis",0,"Sociedad",0
2018-03-01,"Las Palmas",1,"Barcelona",1
2018-03-03,"La Coruna",1,"Eibar",1
2018-03-03,"Leganes",2,"Malaga",0
2018-03-03,"Real Madrid",3,"Getafe",1
2018-03-03,"Sevilla",2,"Ath Bilbao",0
2018-03-03,"Villarreal",0,"Girona",2
2018-03-04,"Barcelona",1,"Ath Madrid",0
2018-03-04,"Levante",1,"Espanol",1
2018-03-04,"Sociedad",2,"Alaves",1
2018-03-04,"Valencia",2,"Betis",0
2018-03-05,"Celta",2,"Las Palmas",1
2018-03-09,"Girona",2,"La Coruna",0
2018-03-10,"Eibar",1,"Real Madrid",2
2018-03-10,"Getafe",0,"Levante",1
2018-03-10,"Malaga",0,"Barcelona",2
2018-03-10,"Sevilla",0,"Valencia",2
2018-03-11,"Ath Bilbao",2,"Leganes",0
2018-03-11,"Ath Madrid",3,"Celta",0
2018-03-11,"Espanol",2,"Sociedad",1
2018-03-11,"Las Palmas",0,"Villarreal",2
2018-03-12,"Alaves",1,"Betis",3
2018-03-16,"Levante",2,"Eibar",1
2018-03-17,"Betis",3,"Espanol",0
2018-03-17,"La Coruna",1,"Las Palmas",1
2018-03-17,"Sociedad",1,"Getafe",2
2018-03-17,"Valencia",3,"Alaves",1
2018-03-18,"Barcelona",2,"Ath Bilbao",0
2018-03-18,"Celta",0,"Malaga",0
2018-03-18,"Leganes",2,"Sevilla",1
2018-03-18,"Real Madrid",6,"Girona",3
2018-03-18,"Villarreal",2,"Ath Madrid",1
2018-03-31,"Ath Bilbao",1,"Celta",1
2018-03-31,"Girona",1,"Levante",1
2018-03-31,"Las Palmas",0,"Real Madrid",3
2018-03-31,"Sevilla",2,"Barcelona",2
2018-04-01,"Ath Madrid",1,"La Coruna",0
2018-04-01,"Eibar",0,"Sociedad",0
2018-04-01,"Espanol",0,"Alaves",0
2018-04-01,"Leganes",0,"Valencia",1
2018-04-01,"Malaga",1,"Villarreal",0
2018-04-02,"Getafe",0,"Betis",1
2018-04-06,"La Coruna",3,"Malaga",2
2018-04-07,"Alaves",2,"Getafe",0
2018-04-07,"Barcelona",3,"Leganes",1
2018-04-07,"Betis",2,"Eibar",0
2018-04-07,"Celta",4,"Sevilla",0
2018-04-08,"Levante",2,"Las Palmas",1
2018-04-08,"Real Madrid",1,"Ath Madrid",1
2018-04-08,"Sociedad",5,"Girona",0
2018-04-08,"Valencia",1,"Espanol",0
2018-04-09,"Villarreal",1,"Ath Bilbao",3
2018-04-13,"Girona",0,"Betis",1
2018-04-14,"Ath Bilbao",2,"La Coruna",3
2018-04-14,"Barcelona",2,"Valencia",1
2018-04-14,"Las Palmas",0,"Sociedad",1
2018-04-14,"Leganes",1,"Celta",0
2018-04-14,"Sevilla",2,"Villarreal",2
2018-04-15,"Ath Madrid",3,"Levante",0
2018-04-15,"Eibar",0,"Alaves",1
2018-04-15,"Getafe",1,"Espanol",0
2018-04-15,"Malaga",1,"Real Madrid",2
2018-04-17,"Celta",2,"Barcelona",2
2018-04-17,"La Coruna",0,"Sevilla",0
2018-04-17,"Villarreal",2,"Leganes",1
2018-04-18,"Espanol",0,"Eibar",1
2018-04-18,"Real Madrid",1,"Ath Bilbao",1
2018-04-18,"Valencia",1,"Getafe",2
2018-04-19,"Alaves",1,"Girona",2
2018-04-19,"Betis",1,"Las Palmas",0
2018-04-19,"Levante",1,"Malaga",0
2018-04-19,"Sociedad",3,"Ath Madrid",0
2018-04-20,"Leganes",0,"La Coruna",0
2018-04-21,"Celta",1,"Valencia",1
2018-04-21,"Eibar",0,"Getafe",1
2018-04-22,"Ath Madrid",0,"Betis",0
2018-04-22,"Girona",0,"Espanol",2
2018-04-22,"Las Palmas",0,"Alaves",4
2018-04-22,"Malaga",2,"Sociedad",0
2018-04-23,"Ath Bilbao",1,"Levante",3
2018-04-27,"Levante",2,"Sevilla",1
2018-04-28,"Espanol",1,"Las Palmas",1
2018-04-28,"Real Madrid",2,"Leganes",1
2018-04-28,"Sociedad",3,"Ath Bilbao",1
2018-04-28,"Villarreal",4,"Celta",1
2018-04-29,"Alaves",0,"Ath Madrid",1
2018-04-29,"Getafe",1,"Girona",1
2018-04-29,"La Coruna",2,"Barcelona",4
2018-04-29,"Valencia",0,"Eibar",0
2018-04-30,"Betis",2,"Malaga",1
2018-05-04,"Sevilla",1,"Sociedad",0
2018-05-05,"Ath Bilbao",2,"Betis",0
2018-05-05,"Celta",1,"La Coruna",1
2018-05-05,"Girona",1,"Eibar",4
2018-05-05,"Villarreal",1,"Valencia",0
2018-05-06,"Ath Madrid",0,"Espanol",2
2018-05-06,"Barcelona",2,"Real Madrid",2
2018-05-06,"Las Palmas",0,"Getafe",1
2018-05-06,"Malaga",0,"Alaves",3
2018-05-07,"Leganes",0,"Levante",3
2018-05-09,"Barcelona",5,"Villarreal",1
2018-05-09,"Sevilla",3,"Real Madrid",2
2018-05-12,"Alaves",3,"Ath Bilbao",1
2018-05-12,"Betis",2,"Sevilla",2
2018-05-12,"Eibar",1,"Las Palmas",0
2018-05-12,"Getafe",0,"Ath Madrid",1
2018-05-12,"Girona",0,"Valencia",1
2018-05-12,"La Coruna",2,"Villarreal",4
2018-05-12,"Real Madrid",6,"Celta",0
2018-05-12,"Sociedad",3,"Leganes",2
2018-05-13,"Espanol",4,"Malaga",1
2018-05-13,"Levante",5,"Barcelona",4
2018-05-19,"Celta",4,"Levante",2
2018-05-19,"Las Palmas",1,"Girona",2
2018-05-19,"Leganes",3,"Betis",2
2018-05-19,"Malaga",0,"Getafe",1
2018-05-19,"Sevilla",1,"Alaves",0
2018-05-19,"Villarreal",2,"Real Madrid",2
2018-05-20,"Ath Bilbao",0,"Espanol",1
2018-05-20,"Ath Madrid",2,"Eibar",2
2018-05-20,"Barcelona",1,"Sociedad",0
